station,school,distance_m,school_lat,school_lon,授業開始日,情報源URL
柴島,大阪府立柴島高等学校,189.5,34.7299151,135.5104311,,
柴島,小中一貫校むくのき学園　大阪市立啓発小学校・大阪市立中島中学校,601.5,34.7324048,135.507015,,
桃山台,吹田市立竹見台中学校,705.3,34.7958873,135.5042631,,
桃山台,吹田市立南千里中学校,709,34.7872515,135.5003791,,
桜川,大阪市立堀江中学校,248.6,34.6704895,135.489689,,
桜川,大阪市立難波中学校,693.2,34.6621194,135.4912137,,
桜川,大阪市立堀江中学校,759.9,34.6736314,135.4850602,,
森ノ宮,城星学園中学校,524.7,34.6787357,135.5286578,,
森ノ宮,城星学園高等学校,583.5,34.6784965,135.5280808,,
森ノ宮,大阪女学院中学校,687,34.6773394,135.5275114,,
森ノ宮,大阪女学院高等学校,711.1,34.6773648,135.5271915,,
横堤,大阪市立横堤中学校,354.5,34.7024938,135.5697901,,
横堤,大阪市立茨田中学校,356.5,34.703264,135.5772858,,
正雀,大阪薫英女学院高等学校,397.3,34.7777492,135.5493282,,
正雀,大阪薫英女学院中学校,406,34.7774872,135.5496455,,
正雀,大阪学院大学高等学校,465.1,34.7751546,135.540734,,
水無瀬,島本町立第一中学校,205.8,34.8794084,135.6672729,,
江坂,N中等部 / N高等学校 江坂キャンパス,195.5,34.7578822,135.4953252,,
江坂,科学技術学園高等学校 大阪分室,264,34.7565011,135.4973537,,
江坂,吹田市立豊津西中学校,308.3,34.7603956,135.4942848,,
江坂,吹田市立豊津中学校,643,34.7583268,135.5041069,,
洛西口,市立西ノ岡中学校,541,34.9665795,135.6982752,,
洛西口,市立寺戸中学校,606,34.9587068,135.7053819,,
洛西口,真言宗洛南学園 洛南高等学校附属小学校,648.3,34.960577,135.7090774,,
深江橋,市立東陽中学校,240.7,34.67759,135.559324,,
深江橋,大阪市立東陽中学校,261.3,34.6773257,135.5593096,,
深江橋,市立城東中学校,350.2,34.682097,135.5562325,,
深江橋,大阪府立成城高等学校,490.2,34.6820644,135.5614342,,
深江橋,市立相生中学校,649.4,34.6743478,135.5533454,,
清水,大阪国際滝井高等学校,518.3,34.7269214,135.5611453,,
